title,vendor,price,rating,reviews_count
Order Restrictions,Flintop,$49.00,,
Spin Wheel,WPExperts,$49.00,2.8,5
Bought Together,WP1,$29.00,,
Events Manager,Pixelite SL,$79.00,2,5
Cart Limits,FmeAddons,$49.00,,
Order Tracking,Addify,$49.00,,
Mixpanel,SkyVerge,$149.00,,
Fortis Payments,Fortis,Free,,
Product Sale Countdown,Addify,Free,2.7,3
Bulk Shop,Consortia AS,$49.00,4.6,10
Share Your Purchase,Enrique J. Ros,$29.00,,
Gift Registry,Addify,$59.00,4.1,7
Aramex Shipping Method,OPMC,$79.00,,
Blaze,Automattic,Free,,
Product Batch & Expiration Tracking,Web Industrial Solutions (Webis),$79.00,1.6,10
Hide Prices & Private Store,WebWizards,$49.00,3,4
Tiered Pricing,WPExperts,$49.00,4.5,14
Custom Registration Forms Builder,Addify,$69.00,5,6
Availability Scheduler,HighAddons,$49.00,5,4
Kissmetrics,SkyVerge,$149.00,,
Wallet,Flintop,$79.00,4.2,5
Products Linked by Variations,Plugify,$49.00,5,9
Merchant Warrior,Tyson Armstrong,$79.00,,
Spee-Dee Delivery,Atomic Web Strategy,$79.00,,
Edit Order by Customer,Addify,$49.00,5,5
Sales Report By Country,Zorem,$59.00,2,3
Product Merchandizing,Vibe Agency,$49.00,,
Colissimo Shipping Method,Atomic Web Strategy,$79.00,,
FooSales Point of Sale (POS),FooSales,$189.00,2.2,5
Extend B2B - Ecommerce AIO,Codup,$99.00,4.4,5
Price Display Including/Excluding Tax,KoalaApps,$29.00,5,7
Price Text,KoalaApps,$29.00,5,8
Phone Orders and Payments,Kestrel,$79.00,,
Product Condition,Amplify Plugins,$29.00,3,3
Extend B2B - Quick Order,Codup,$49.00,3.8,4
Floating Cart,SKROTRON,$29.00,,
Advanced Gift Card,Addify,$79.00,4.3,4
Advanced Free Gifts,Addify,$59.00,,
Price Calculator,Addify,$79.00,4.6,7
"PayHelm: Export, Reports & Analytics",PayHelm,Free,,
Outfy ‑ Automated Social Media,Outfy,Free,,
Update Cart on Checkout,Plugify,$39.00,5,5
Bundle Builder,HighAddons,$79.00,4,8
Nexi Checkout,Nexi | Nets,Free,,
SMS Customer Notifications,Zorem,$129.00,,
Arty 3D Viewer,ARTY,Free,,
Product Brands,WP1,$29.00,,
Up-Sells and Cross-Sells For Variations,HighAddons,$49.00,,
One-Click Upsell Funnel,Plugify,$29.00,5,5
Custom Thank You and Success Pages,KoalaApps,$49.00,,
Price and Stock Import,Kestrel,$79.00,,
Custom Cancelation Rules for WooCommerce Subscriptions,Launch and Sell,$89.00,,
Advanced Product Variation,WP Swings,$49.00,,
Extend B2B - Roles and Permissions,Codup,$99.00,4.7,3
Advanced Product Importer & Affiliate,Nxtal,$129.00,3.3,6
Choose User Role at Registration,Addify,$29.00,,
Custom Product Tag Image,KoalaApps,$29.00,5,10
Extend - Booking Filters,Codup,$99.00,3.3,3
Multiple Order Email Recipients,Addify,$29.00,5,4
Ajax Infinite Scroll,KoalaApps,$49.00,,
Birthday Discount Coupon,KoalaApps,$39.00,,
Order Cancellation Email to Customer,KoalaApps,$29.00,,
TrustCommerce gateway,VanboDevelops,$79.00,,
Product Variations Table Listing,Addify,$39.00,5,5
Social Login Pro,WP Plugin Experts,$69.00,,
Smart Product Quantity,HighAddons,$49.00,4.8,5
Variation Switcher in Cart,Flintop,$49.00,,
Prepaid for WooCommerce Subscriptions,Meow Crew,$79.00,,
Walmart Integration,CedCommerce,$199.00,4.3,15
Floating Sticky Cart,Stylemix FZ-LLC,$29.00,,
Free Shipping Progress Bar,FmeAddons,$29.00,3.7,4
Wholesale Pricing,Addify,$99.00,,
Automatic User Roles Switcher,Addify,$59.00,,
Variations as Radio Buttons,Extendons,$49.00,5,6
Cart To Quote,HighAddons,$49.00,5,4
Product Likes,Kestrel,$49.00,,
Popup Pro,Aheadworks,$29.00,,
FreeAgent Sync,The team at PIE,$79.00,3,5
Quote Request,Flintop,$49.00,,
Advanced Cash on Delivery with Fee,Addify,$49.00,3.3,3
Product Labels and Stickers,Addify,$49.00,,
Country Based Website Switcher,KoalaApps,$49.00,,
viva.com | Smart Checkout,Viva Wallet,Free,,
Cart Discounts,FmeAddons,$49.00,5,3
Back in Stock and Price Alert,Addify,$49.00,4.3,6
Products of the Day,OptArt,$49.00,,
Refer a Friend,Addify,$49.00,,
Product FAQs,Kestrel,$49.00,,
Multi Inventory Management,Addify,$129.00,4,4
Product Stock Manager,Addify,$49.00,3,3
Woo Bot,WP1,$29.00,2,3
ePay.bg payment gateway,VanboDevelops,$79.00,,
Customize Account Page & User Dashboard,Extendons,$79.00,2.3,3
Customer Order Cancellation,FmeAddons,$49.00,3.7,5
Yoast SEO Premium,Yoast,$99.00,,
Mini Cart,Extendons,$49.00,4,6
WooCommerce In-Person Payments WisePad 3,Woo,$84.99,,
Norton Shopping Guarantee with Package Protection,EasyPost,Free,,
Conditional Coupons,SKROTRON,$29.00,,
Direct Checkout Options Pro,Plugify,$39.00,,
Keap for WooCommerce (Formerly Infusionsoft),WPExperts,$99.00,,
Shareable Products,P5Cure,$29.00,,
Top Bar,Addify,$49.00,,
Save Cart Later,WP Swings,$49.00,,
Custom Mix & Match Product Boxes & Bundles,Extendons,$79.00,4.8,9
Email Customizer for AutomateWoo,YayCommerce,$49.00,3.7,3
Simple Product Box,WP1,$29.00,,
Save for Later,Flintop,$49.00,,
Custom Add to Cart Button,Plugify,$29.00,,
e-Path Gateway,Tectalic,$99.00,,
